"action","category","reason","full_path"
"exclude","ransom_note","랜섬노트이므로 문서 파싱 대상 아님","C:\Users\Elise\Desktop\dev\data\source\한진서버데이터\한진\38. 도면\4. 엠티 핸들러 (SANY)\6-1. SANY TH 파트도면 (1부)\README.html"
"exclude","ransom_encrypted","암호화된 파일로 정상 문서 아님","C:\Users\Elise\Desktop\dev\data\source\한진서버데이터\한진\38. 도면\4. 엠티 핸들러 (SANY)\6-1. SANY TH 파트도면 (1부)\SANY Empty Handler SDCY90K7H4 - Parts Book.pdf.yvfoelvl"
"exclude","ransom_encrypted","암호화된 파일로 정상 문서 아님","C:\Users\Elise\Desktop\dev\data\source\한진서버데이터\한진\38. 도면\4. 엠티 핸들러 (SANY)\6-2. SANY TH 정비도면 (1부)\A3 H-type Container Handler SOM Manual-20170809.pdf.yvfoelvl"
"exclude","ransom_note","랜섬노트이므로 문서 파싱 대상 아님","C:\Users\Elise\Desktop\dev\data\source\한진서버데이터\한진\38. 도면\4. 엠티 핸들러 (SANY)\6-2. SANY TH 정비도면 (1부)\README.html"
"review","recovered_copy","복구본 여부와 원본 관계를 확인해야 함","C:\Users\Elise\Desktop\dev\data\source\한진서버데이터\한진\18. 회의자료\1. 주간 업무 보고\2022년\HJIT 주간 업무 보고(12월3주차)_정비팀 (복구됨).docx"
"review","recovered_copy","복구본 여부와 원본 관계를 확인해야 함","C:\Users\Elise\Desktop\dev\data\source\한진서버데이터\한진\18. 회의자료\1. 주간 업무 보고\2024년\HJIT 주간업무 보고(3월5주차)_정비팀 (복구됨).docx"
"review","no_extension","확장자가 없어 실제 문서 형식 판정 필요","C:\Users\Elise\Desktop\dev\data\source\한진서버데이터\한진\18. 회의자료\1. 주간 업무 보고\2023년\HJIT 주간 업무 보고(12월2주차)_정비팀"
"review","no_extension","확장자가 없어 실제 문서 형식 판정 필요","C:\Users\Elise\Desktop\dev\data\source\한진서버데이터\한진\18. 회의자료\1. 주간 업무 보고\2023년\HJIT 주간 업무 보고(12월3주차)_정비팀"
"review","no_extension","확장자가 없어 실제 문서 형식 판정 필요","C:\Users\Elise\Desktop\dev\data\source\한진서버데이터\한진\18. 회의자료\1. 주간 업무 보고\2023년\HJIT 주간 업무 보고(12월4주차)_정비팀"
"review","no_extension","확장자가 없어 실제 문서 형식 판정 필요","C:\Users\Elise\Desktop\dev\data\source\한진서버데이터\한진\18. 회의자료\1. 주간 업무 보고\2023년\HJIT 주간 업무 보고(12월4주차)_정비팀의 사본"
